해상도,pcts,count
"480,640",78.50589777195282,5391
"384,512",4.383282364933741,301
"360,480",3.494975972040192,240
"360,640",3.2911023736711806,226
"960,1280",2.6794815785641477,184
"2988,5312",2.5775447793796418,177
"720,960",1.7038007863695939,117
"1536,2048",0.7426823940585409,51
"600,800",0.7426823940585409,51
"768,1024",0.6407455948740353,44
"2448,3264",0.2766855977865152,19
"400,600",0.17474879860200962,12
"3096,4128",0.17474879860200962,12
"3024,4032",0.10193679918450561,7
"3000,4000",0.08737439930100481,6
"756,1008",0.08737439930100481,6
"960,720",0.0582495995340032,4
"240,320",0.0582495995340032,4
"540,960",0.0582495995340032,4
"960,540",0.0291247997670016,2
"1836,3264",0.0291247997670016,2
"1494,2656",0.0291247997670016,2
"922,1230",0.0145623998835008,1
"875,1168",0.0145623998835008,1
"990,1320",0.0145623998835008,1
"640,480",0.0145623998835008,1
"1005,1339",0.0145623998835008,1
